rank_main,rank_child,lemma,pos,rnc_ipm,detcorpus_ipm,freq_sum,all_rki_abs,r,dp,det_rki_ipm,native_ipm,bilingual_ipm,inA1,inA2,dp_factor,zipf_rki,formula_mean_zipf,formula1,rufola_123_ipm,native_abs,bilingual_abs,cefr,comment_main,comment_child,kelly
89,162,надо,ADVERB,993.2,1477,1835,243,85,0.65,1151.66,1050.66,897.3,1,1,35,6.06,6,21,1115,954,498,A1,крайне частотно (ТОП-100),очень частотно (ТОП-1000),A1
90,32,хотеть,VERB,991.3,1462,2446,525,92,0.6,2488.15,703.74,1508.11,1,1,40,6.4,6,23,3545,639,837,A1,крайне частотно (ТОП-100),крайне частотно (ТОП-100),A1
91,302,ли,PART,981.7,819.1,3217,87,54,0.73,412.32,2452.64,1533.33,0,1,27,5.62,6,20,414,2227,851,A2,крайне частотно (ТОП-100),очень частотно (ТОП-1000),B1
92,95,слово,NOUN,967.9,896,32648,899,100,0.74,4260.66,25825.99,14715.32,1,1,26,6.63,6,22,1051,23450,8167,A1,крайне частотно (ТОП-100),крайне частотно (ТОП-100),A1
93,33,идти,VERB,957.1,1406,2717,661,100,0.57,3132.7,917.4,1765.77,1,1,43,6.5,6,23,1936,833,980,A1,крайне частотно (ТОП-100),крайне частотно (ТОП-100),A1
94,45,большой,ADJECTIVE,944.4,923,2608,506,100,0.59,2398.1,961.45,1706.31,1,1,41,6.38,6,23,2246,873,947,A1,крайне частотно (ТОП-100),крайне частотно (ТОП-100),A1
95,168,место,NOUN,926.6,932,1689,160,92,0.62,758.29,984.58,924.32,1,1,38,5.88,6,21,972,894,513,A1,крайне частотно (ТОП-100),очень частотно (ТОП-1000),A1
96,558,иметь,VERB,906.7,352,1031,55,54,0.7,260.66,694.93,544.14,0,0,30,5.42,5,19,343,631,302,B1,крайне частотно (ТОП-100),очень частотно (ТОП-1000),A1
97,291,ничто,SPRO,902.8,1297,542,59,85,0.63,279.62,200.44,345.95,1,1,37,5.45,6,20,868,182,192,A1,крайне частотно (ТОП-100),очень частотно (ТОП-1000),B2
98,1386,то,CONJUNCTION,902,885,795,61,85,0.96,289.1,743.39,0,0,1,4,5.46,6,17,470,675,0,A2,крайне частотно (ТОП-100),очень частотно (ТОП-2000),A1
99,82,сейчас,ADVERB,897.3,1297,1078,278,92,0.6,1317.54,255.51,527.93,1,1,40,6.12,6,22,2191,232,293,A1,крайне частотно (ТОП-100),крайне частотно (ТОП-100),A1
100,157,тут,ADVERB,879.2,1606,616,116,69,0.61,549.76,298.46,360.36,1,1,39,5.74,6,21,231,271,200,A1,крайне частотно (ТОП-100),очень частотно (ТОП-1000),A1
101,874,лицо,NOUN,878,903,1367,37,77,0.76,175.36,1073.79,540.54,1,1,24,5.24,5,18,438,975,300,A1,очень частотно (ТОП-1000),очень частотно (ТОП-1000),A1
102,303,каждый,APRO,875.9,733,4497,207,92,0.76,981.04,3458.15,1691.89,1,1,24,5.99,6,20,1681,3140,939,A1,очень частотно (ТОП-1000),очень частотно (ТОП-1000),A2
