rank,lemma,pos,freq_sum,all_rki_abs,r,dp,all_rki_ipm,native_ipm,bilingual_ipm,rnc_ipm,detcorpus_ipm
1403,включать,VERB,161,15,54,0.7,71.09,105.73,73.87,75.4,87
7209,тюрьма,NOUN,6,0,15,0.69,0,0,5.41,75.4,53
846,конкурс,NOUN,109,33,46,0.77,156.4,16.52,34.23,75.3,27
1404,полезный,ADJECTIVE,148,15,62,0.74,71.09,90.31,55.86,75.2,42
443,собирать,VERB,520,69,69,0.63,327.01,227.97,389.19,75.1,200
1382,книжка,NOUN,170,15,69,0.65,71.09,69.38,160.36,75.1,150
1923,изучение,NOUN,43,9,46,0.59,42.65,17.62,23.42,75,11
1929,скажем,ADVERB,26,9,62,0.61,42.65,5.51,19.82,74.9,39
1943,дальний,ADJECTIVE,125,9,46,0.75,42.65,87,54.05,74.9,91
2417,менять,VERB,95,6,46,0.74,28.44,70.48,36.04,74.9,46
1589,царь,NOUN,175,12,38,0.64,56.87,74.89,113.51,74.7,51
2345,просьба,NOUN,171,6,38,0.67,28.44,91.41,136.94,74.7,50
4010,делаться,VERB,42,2,31,0.71,9.48,28.63,21.62,74.7,58
2187,смех,NOUN,93,7,46,0.67,33.18,42.95,55.86,74.6,118
7887,публика,NOUN,8,0,23,0.76,0,3.3,3.6,74.6,23
245,покупать,VERB,308,137,69,0.56,649.29,25.33,189.19,74.5,51
3029,сообщение,NOUN,226,4,46,0.78,18.96,182.82,86.49,74.5,43
7249,угроза,NOUN,5,0,15,0.69,0,3.3,3.6,74.5,30
488,домашний,ADJECTIVE,364,62,69,0.59,293.84,115.64,281.08,74.4,57
1279,беда,NOUN,143,17,54,0.65,80.57,83.7,82.88,74.4,114
6299,беда,ADVERB,6,0,15,0.69,0,3.3,5.41,74.4,114
1861,традиционный,ADJECTIVE,28,10,38,0.83,47.39,2.2,5.41,74.1,5
2659,должно,ADVERB,148,5,38,0.76,23.7,113.44,55.86,74.1,127
6307,предполагать,VERB,90,0,23,0.69,0,58.37,64.86,74.1,78
4780,терять,VERB,48,1,31,0.68,4.74,20.93,39.64,74,73
3867,специально,ADVERB,28,2,31,0.65,9.48,13.22,18.02,73.9,58
2509,реклама,NOUN,25,6,23,0.88,28.44,0,3.6,73.7,15
3755,блок,NOUN,74,3,15,0.98,14.22,78.19,0,73.7,14
4123,достижение,NOUN,20,2,31,0.65,9.48,4.41,21.62,73.7,11
8553,назначение,NOUN,10,0,8,1,0,11.01,0,73.7,15
2363,портрет,NOUN,91,6,46,0.66,28.44,33.04,55.86,73.6,67
2411,крепкий,ADJECTIVE,132,6,38,0.75,28.44,104.63,54.05,73.6,85
3096,жесткий,ADJECTIVE,29,4,31,0.78,18.96,18.72,10.81,73.6,35
1007,масло,NOUN,132,25,69,0.61,118.48,38.55,95.5,73,51
3301,виноватый,ADJECTIVE,47,3,38,0.64,14.22,16.52,45.05,73,138
6942,буквально,ADVERB,10,0,15,0.69,0,6.61,7.21,73,34
7226,значительно,ADVERB,6,0,23,0.69,0,3.3,3.6,73,21
674,стакан,NOUN,150,45,85,0.59,213.27,64.98,75.68,72.8,58
3849,культурный,ADJECTIVE,45,2,38,0.69,9.48,8.81,21.62,72.8,11
1136,приятный,ADJECTIVE,105,21,69,0.65,99.53,39.65,50.45,72.7,62
33,урок,NOUN,2778,661,100,0.58,3132.7,894.27,2248.65,72.6,290
490,часы,NOUN,271,62,77,0.64,293.84,71.59,203.6,72.5,138
6880,присутствовать,VERB,11,0,23,0.73,0,4.41,5.41,72.5,22
349,мечтать,VERB,317,94,54,0.71,445.5,95.81,127.93,72.4,88
3329,крик,NOUN,85,3,31,0.7,14.22,60.57,45.05,72.4,132
274,телевизор,NOUN,306,118,85,0.56,559.24,34.14,180.18,72.3,81
2316,творчество,NOUN,68,7,38,0.89,33.18,57.27,7.21,72.3,11
4844,во-вторых,ADVERB,27,1,31,0.7,4.74,14.32,14.41,72.3,53
8657,осуществлять,VERB,7,0,15,1,0,5.51,0,72.2,11
876,инструмент,NOUN,128,31,62,0.59,146.92,36.34,113.51,72.1,49
1764,поступать,VERB,126,10,46,0.67,47.39,44.05,64.86,72.1,111
935,экран,NOUN,87,29,46,0.87,137.44,50.66,12.61,71.9,91
1099,круглый,ADJECTIVE,163,22,77,0.63,104.27,96.92,88.29,71.9,135
1903,дно,NOUN,113,9,38,0.64,42.65,64.98,77.48,71.8,122
3035,понятный,ADJECTIVE,151,4,46,0.76,18.96,120.04,59.46,71.6,42
319,голубой,ADJECTIVE,550,101,85,0.67,478.67,346.92,227.03,71.5,135
2164,канал,NOUN,28,7,46,0.56,33.18,1.1,23.42,71.5,28
3819,удивительный,ADJECTIVE,157,2,31,0.68,9.48,92.51,95.5,71.5,69
832,мясо,NOUN,160,33,100,0.57,156.4,25.33,124.32,71.4,60
1018,щека,NOUN,115,25,62,0.63,118.48,56.17,66.67,71.3,160
568,мужской,ADJECTIVE,578,55,54,0.66,260.66,332.6,385.59,71.2,38
7234,конфликт,NOUN,6,0,15,0.69,0,0,7.21,71.1,9
1652,запись,NOUN,540,12,31,0.94,56.87,545.15,50.45,71,42
932,вагон,NOUN,107,29,62,0.7,137.44,49.56,39.64,70.9,118
1084,готовиться,VERB,150,22,54,0.62,104.27,72.69,81.08,70.9,74
4028,мертвый,ADJECTIVE,36,2,31,0.69,9.48,16.52,27.03,70.8,74
7282,мертвый,NOUN,1,0,8,0.69,0,0,1.8,70.8,74
297,пятый,ADJECTIVE,250,111,69,0.58,526.07,59.47,126.13,70.6,87
4735,площадка,NOUN,104,1,31,0.68,4.74,59.47,75.68,70.6,109
8642,сотрудничество,NOUN,7,0,15,1,0,2.2,0,70.6,2
565,б,PART,1063,55,85,0.66,260.66,278.63,1358.56,70.5,113
1507,зеркало,NOUN,126,13,62,0.66,61.61,49.56,106.31,70.5,88
3402,тон,NOUN,32,3,38,0.64,14.22,7.71,32.43,70.5,105
570,захотеть,VERB,206,55,54,0.7,260.66,101.32,86.49,70.4,104
4514,совместный,ADJECTIVE,12,2,31,0.96,9.48,7.71,0,70.4,8
1204,семейный,ADJECTIVE,67,19,54,0.62,90.05,5.51,43.24,70.3,25
1505,отдавать,VERB,153,13,54,0.63,61.61,64.98,91.89,70.3,238
2376,тяжело,ADVERB,61,6,46,0.62,28.44,24.23,36.04,70.3,130
5433,академия,NOUN,38,1,23,0.89,4.74,0,7.21,70.3,17
6404,бороться,VERB,35,0,23,0.69,0,19.82,21.62,70.3,54
3856,палата,NOUN,39,2,31,0.65,9.48,16.52,28.83,70.2,41
778,ноябрь,NOUN,107,37,85,0.55,175.36,39.65,55.86,70.1,13
438,продолжаться,VERB,111,71,38,0.81,336.49,11.01,27.03,69.9,43
1450,поездка,NOUN,110,14,54,0.61,66.35,55.07,63.06,69.8,37
2612,осторожно,ADVERB,104,5,38,0.66,23.7,50.66,90.09,69.8,204
6284,дурак,NOUN,20,0,23,0.69,0,9.91,16.22,69.8,122
455,обед,NOUN,373,67,85,0.63,317.54,122.25,243.24,69.7,124
638,февраль,NOUN,118,48,85,0.54,227.49,29.74,64.86,69.7,11
1164,спешить,VERB,237,20,46,0.67,94.79,149.78,118.92,69.7,102
4820,природный,ADJECTIVE,32,1,31,0.68,4.74,9.91,30.63,69.7,6
8867,подтвердить,VERB,14,0,8,1,0,15.42,0,69.7,8
141,парк,NOUN,581,230,92,0.59,1090.05,102.42,365.77,69.5,75
1576,мероприятие,NOUN,15,13,31,0.86,61.61,0,0,69.5,10
6510,устройство,NOUN,24,0,23,0.71,0,14.32,12.61,69.5,22
2617,впереди,ADVERB,92,5,46,0.65,23.7,61.67,50.45,69.3,157
4791,навсегда,ADVERB,42,1,31,0.73,4.74,20.93,19.82,69.3,54
6287,впереди,PREPOSITION,18,0,23,0.69,0,9.91,12.61,69.3,157
6552,вещество,NOUN,22,0,15,0.69,0,11.01,21.62,69.3,19
1280,учебный,ADJECTIVE,143,17,38,0.64,80.57,64.98,99.1,69.2,33
3013,сезон,NOUN,15,4,31,0.62,18.96,3.3,10.81,69.2,9
356,вставать,VERB,454,91,85,0.64,431.28,202.64,218.02,69.1,393
1231,подготовить,VERB,155,18,38,0.64,85.31,77.09,113.51,69.1,23
4543,исходить,VERB,7,2,15,0.96,9.48,5.51,0,69,16
1239,гостиница,NOUN,80,18,46,0.66,85.31,6.61,32.43,68.9,31
2973,нечего,SPRO,31,4,38,0.72,18.96,19.82,12.61,68.8,154
5976,свидетельствовать,VERB,3,1,15,0.99,4.74,2.2,0,68.8,8
6264,нечего,ADVERB,39,0,23,0.69,0,19.82,30.63,68.8,154
4761,взяться,VERB,61,1,23,0.68,4.74,45.15,34.23,68.6,125
6248,темнота,NOUN,80,0,15,0.69,0,48.46,64.86,68.6,158
7765,объединение,NOUN,11,0,15,0.69,0,7.71,7.21,68.6,2
8523,человечество,NOUN,10,0,15,1,0,3.3,0,68.6,26
305,болеть,VERB,338,107,69,0.56,507.11,45.15,257.66,68.5,94
2052,вернуть,VERB,55,8,31,0.7,37.91,26.43,27.03,68.5,78
2939,тянуть,VERB,61,4,31,0.67,18.96,33.04,48.65,68.5,98
571,колесо,NOUN,164,55,54,0.62,260.66,57.27,100.9,68.4,106
3049,опасность,NOUN,92,4,31,0.76,18.96,71.59,37.84,68.4,77
6429,разрешение,NOUN,32,0,15,0.69,0,23.13,19.82,68.3,30
8406,коллектив,NOUN,31,0,15,1,0,25.33,0,68,23
3886,камера,NOUN,17,2,31,0.62,9.48,1.1,21.62,67.9,59
388,запас,NOUN,146,82,38,0.75,388.63,33.04,54.05,67.8,44
1223,внимательно,ADVERB,359,18,54,0.64,85.31,135.46,340.54,67.8,151
4910,представляться,VERB,12,1,31,0.68,4.74,6.61,7.21,67.8,47
7045,следствие,NOUN,9,0,8,0.69,0,0,16.22,67.8,14
1624,длина,NOUN,52,12,38,0.7,56.87,20.93,25.23,67.7,65
4105,невозможный,ADJECTIVE,22,2,38,0.72,9.48,3.3,9.01,67.7,33
7146,материальный,ADJECTIVE,7,0,15,0.71,0,0,3.6,67.7,7
1402,крыло,NOUN,214,15,46,0.71,71.09,154.19,102.7,67.6,102
3650,фон,NOUN,84,3,38,0.89,14.22,78.19,12.61,67.5,40
1233,родственник,NOUN,148,18,38,0.66,85.31,73.79,99.1,67.4,46
1711,прекрасно,ADVERB,88,11,54,0.68,52.13,34.14,39.64,67.3,68
452,познакомиться,VERB,396,68,69,0.72,322.27,188.33,156.76,67.2,71
1701,пахнуть,VERB,134,11,38,0.67,52.13,85.9,75.68,67.2,117
7083,присутствие,NOUN,8,0,23,0.69,0,4.41,5.41,67.2,29
8798,давление,NOUN,2,0,15,1,0,1.1,0,67.2,15
496,доска,NOUN,271,62,69,0.62,293.84,116.74,180.18,67.1,156
1314,громко,ADVERB,288,16,38,0.66,75.83,122.25,261.26,67.1,214
1129,шум,NOUN,229,21,38,0.7,99.53,139.87,118.92,66.9,133
4308,предстоять,VERB,19,2,23,0.78,9.48,14.32,7.21,66.8,48
5194,достоинство,NOUN,14,1,23,0.68,4.74,7.71,10.81,66.8,31
3777,грех,NOUN,5,3,15,0.99,14.22,2.2,0,66.7,30
3943,вдоль,PREPOSITION,74,2,23,0.71,9.48,56.17,37.84,66.7,121
8683,вдоль,ADVERB,6,0,8,1,0,6.61,0,66.7,121
746,нож,NOUN,247,39,92,0.57,184.83,84.8,228.83,66.6,93
1795,полет,NOUN,119,10,54,0.67,47.39,62.78,57.66,66.5,69
5084,производить,VERB,22,1,31,0.81,4.74,12.11,7.21,66.5,55
1414,перевести,VERB,64,15,31,0.68,71.09,8.81,70.27,66.4,11
2930,соседний,ADJECTIVE,72,4,31,0.68,18.96,28.63,50.45,66.4,100
6943,истина,NOUN,10,0,23,0.69,0,4.41,7.21,66.1,20
8525,испытание,NOUN,10,0,15,1,0,5.51,0,66.1,31
2032,меняться,VERB,129,8,46,0.65,37.91,74.89,84.68,66,30
3332,разница,NOUN,82,3,31,0.68,14.22,35.24,82.88,66,42
624,музыкальный,ADJECTIVE,132,50,54,0.73,236.97,24.23,43.24,65.9,25
1171,водитель,NOUN,81,20,54,0.63,94.79,30.84,50.45,65.9,50
1396,пакет,NOUN,41,15,54,0.61,71.09,7.71,27.03,65.8,71
4758,куда-то,ADVERB,63,1,31,0.68,4.74,42.95,37.84,65.8,113
6336,формула,NOUN,50,0,23,0.69,0,12.11,66.67,65.7,17
1221,живот,NOUN,82,18,92,0.57,85.31,20.93,70.27,65.6,90
